epoch 001  train_mse=9677.21  val_mse=9970.44
epoch 002  train_mse=9652.27  val_mse=9938.88
epoch 003  train_mse=9592.93  val_mse=9891.39
epoch 004  train_mse=9545.09  val_mse=9813.72
epoch 005  train_mse=9450.68  val_mse=9684.96
epoch 006  train_mse=9290.57  val_mse=9497.60
epoch 007  train_mse=9117.77  val_mse=9313.26
epoch 008  train_mse=8927.64  val_mse=9153.47
epoch 009  train_mse=8794.00  val_mse=9018.60
epoch 010  train_mse=8683.27  val_mse=8902.38
epoch 011  train_mse=8561.27  val_mse=8801.09
epoch 012  train_mse=8458.67  val_mse=8710.95
epoch 013  train_mse=8359.81  val_mse=8628.57
epoch 014  train_mse=8313.14  val_mse=8551.86
epoch 015  train_mse=8234.74  val_mse=8479.17
epoch 016  train_mse=8178.85  val_mse=8409.61
epoch 017  train_mse=8111.82  val_mse=8342.47
epoch 018  train_mse=8042.18  val_mse=8277.24
epoch 019  train_mse=7984.41  val_mse=8213.29
epoch 020  train_mse=7922.69  val_mse=8150.22
epoch 021  train_mse=7857.57  val_mse=8087.87
epoch 022  train_mse=7796.24  val_mse=8026.65
epoch 023  train_mse=7739.75  val_mse=7966.69
epoch 024  train_mse=7663.36  val_mse=7907.82
epoch 025  train_mse=7608.79  val_mse=7850.19
epoch 026  train_mse=7560.19  val_mse=7793.37
epoch 027  train_mse=7478.20  val_mse=7737.49
epoch 028  train_mse=7425.31  val_mse=7682.52
epoch 029  train_mse=7403.20  val_mse=7627.95
epoch 030  train_mse=7348.36  val_mse=7574.22
epoch 031  train_mse=7295.18  val_mse=7521.00
epoch 032  train_mse=7246.95  val_mse=7468.61
epoch 033  train_mse=7189.40  val_mse=7416.67
epoch 034  train_mse=7133.81  val_mse=7365.35
epoch 035  train_mse=7098.17  val_mse=7314.30
epoch 036  train_mse=7019.41  val_mse=7263.66
epoch 037  train_mse=6982.66  val_mse=7213.93
epoch 038  train_mse=6919.37  val_mse=7164.43
epoch 039  train_mse=6904.07  val_mse=7115.46
epoch 040  train_mse=6849.72  val_mse=7067.05
epoch 041  train_mse=6791.77  val_mse=7019.05
epoch 042  train_mse=6741.42  val_mse=6971.43
epoch 043  train_mse=6706.39  val_mse=6924.06
epoch 044  train_mse=6644.04  val_mse=6877.44
epoch 045  train_mse=6610.92  val_mse=6830.77
epoch 046  train_mse=6578.60  val_mse=6784.47
epoch 047  train_mse=6526.21  val_mse=6738.40
epoch 048  train_mse=6468.68  val_mse=6692.82
epoch 049  train_mse=6429.47  val_mse=6647.65
epoch 050  train_mse=6394.78  val_mse=6602.94
epoch 051  train_mse=6343.82  val_mse=6558.66
epoch 052  train_mse=6311.85  val_mse=6514.72
epoch 053  train_mse=6261.02  val_mse=6471.29
epoch 054  train_mse=6224.21  val_mse=6428.12
epoch 055  train_mse=6178.55  val_mse=6385.22
epoch 056  train_mse=6146.55  val_mse=6342.63
epoch 057  train_mse=6089.24  val_mse=6300.60
epoch 058  train_mse=6061.74  val_mse=6258.66
epoch 059  train_mse=6016.87  val_mse=6216.99
epoch 060  train_mse=5981.01  val_mse=6175.55
epoch 061  train_mse=5923.00  val_mse=6134.58
epoch 062  train_mse=5902.66  val_mse=6093.97
epoch 063  train_mse=5860.94  val_mse=6053.57
epoch 064  train_mse=5819.88  val_mse=6013.43
epoch 065  train_mse=5776.81  val_mse=5973.55
epoch 066  train_mse=5737.67  val_mse=5933.97
epoch 067  train_mse=5697.62  val_mse=5894.67
epoch 068  train_mse=5647.60  val_mse=5855.89
epoch 069  train_mse=5625.58  val_mse=5816.88
epoch 070  train_mse=5582.02  val_mse=5778.62
epoch 071  train_mse=5553.20  val_mse=5740.86
epoch 072  train_mse=5509.75  val_mse=5702.49
epoch 073  train_mse=5442.16  val_mse=5665.13
epoch 074  train_mse=5411.59  val_mse=5627.97
epoch 075  train_mse=5391.66  val_mse=5590.43
epoch 076  train_mse=5370.12  val_mse=5553.94
epoch 077  train_mse=5329.65  val_mse=5517.43
epoch 078  train_mse=5296.40  val_mse=5480.88
epoch 079  train_mse=5255.26  val_mse=5445.11
epoch 080  train_mse=5229.20  val_mse=5409.13
epoch 081  train_mse=5189.14  val_mse=5373.26
epoch 082  train_mse=5160.13  val_mse=5337.84
epoch 083  train_mse=5120.86  val_mse=5302.84
epoch 084  train_mse=5076.42  val_mse=5267.37
epoch 085  train_mse=5050.92  val_mse=5233.58
epoch 086  train_mse=5025.52  val_mse=5197.97
epoch 087  train_mse=4982.60  val_mse=5164.13
epoch 088  train_mse=4949.55  val_mse=5129.55
epoch 089  train_mse=4912.47  val_mse=5095.84
epoch 090  train_mse=4891.03  val_mse=5062.73
epoch 091  train_mse=4845.46  val_mse=5028.58
epoch 092  train_mse=4821.31  val_mse=4996.38
epoch 093  train_mse=4784.50  val_mse=4962.21
epoch 094  train_mse=4751.00  val_mse=4929.52
epoch 095  train_mse=4715.68  val_mse=4897.84
epoch 096  train_mse=4693.94  val_mse=4864.61
epoch 097  train_mse=4667.47  val_mse=4832.54
epoch 098  train_mse=4627.06  val_mse=4800.55
epoch 099  train_mse=4591.87  val_mse=4769.12
epoch 100  train_mse=4551.54  val_mse=4737.17
epoch 101  train_mse=4542.27  val_mse=4706.17
epoch 102  train_mse=4505.13  val_mse=4674.97
epoch 103  train_mse=4484.15  val_mse=4644.16
epoch 104  train_mse=4449.66  val_mse=4614.50
epoch 105  train_mse=4426.66  val_mse=4585.10
epoch 106  train_mse=4383.44  val_mse=4553.26
epoch 107  train_mse=4363.22  val_mse=4522.81
epoch 108  train_mse=4326.63  val_mse=4492.90
epoch 109  train_mse=4308.63  val_mse=4463.66
epoch 110  train_mse=4271.60  val_mse=4433.44
epoch 111  train_mse=4249.54  val_mse=4403.87
epoch 112  train_mse=4215.54  val_mse=4374.73
